"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GQN5TVQG","journalArticle","2018","Goyal, Sandeep; Ahuja, Manju; Guan, Jian","Information Systems Research Themes: A Seventeen-year Data-driven Temporal Analysis","Communications of the Association for Information Systems","","1529-3181","10.17705/1CAIS.04323","https://aisel.aisnet.org/cais/vol43/iss1/23","","2018-09-01","2023-09-10 15:47:58","2024-02-02 02:08:04","","","","1","43","","","Information Systems Research Themes","","","","","","","","","","","","","","","","/Users/markryan/Zotero/storage/8MLA4VEG/Goyal et al. - 2018 - Information Systems Research Themes A Seventeen-y.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YG2BPSNV","journalArticle","2005","Marion, Linda S.; Wilson, Concepcion S.; Davis, Mari","Intellectual structure and subject themes in information systems research: A journal cocitation study","Proceedings of the American Society for Information Science and Technology","","1550-8390","10.1002/meet.14504201195","https://onlinelibrary.wiley.com/doi/abs/10.1002/meet.14504201195","Information Systems (IS) is a discipline in which research and practice are closely intertwined. IS is also closely related to and overlapping several other disciplines, including Information Science. Thus, IS provides an excellent case for examining the interplay of research and practice in a rapidly changing discipline. We explore the intellectual structure and subject themes in Information Systems (IS) research for 1990 to 1999 through the identification and analysis of the field's core journal literature. A core journal list of 100 titles was created and examined with journal cocitation analysis (JSA). JSA demonstrates that IS is a coherent discipline with research ranging from technology-oriented software and hardware to the application of IS in business and organizations. Journals are grouped into seven subject clusters: computer science, computer networking, computer engineering, information science, software engineering, human-computer interaction, and management information systems. Information Science journals occupy a bridging position between technically oriented and application-focused clusters. ASIST publications, JASIST, ARIST, and PASIS, figure prominently in the Information Science cluster.","2005","2023-09-10 15:53:07","2024-02-02 02:08:05","2023-09-10 15:53:07","","","1","42","","","Intellectual structure and subject themes in information systems research","","","","","","","en","Copyright © by American Society for Information Science and Technology","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/meet.14504201195","","/Users/markryan/Zotero/storage/IS3KEFN4/Marion et al. - 2005 - Intellectual structure and subject themes in infor.pdf; /Users/markryan/Zotero/storage/W7Y87E5K/meet.html","","","computer science; human computer interaction; information science; management information systems; research and development; software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWYUENIZ","journalArticle","","Klochko, Oksana; Fedorets, Vasyl","An empirical comparison of machine learning clustering methods in the study of Internet addiction among students majoring in Computer Sciences","","","","","","One of the relevant current vectors of study in machine learning is the analysis of the application peculiarities for methods of solving a specific problem. We will study this issue on the example of methods of solving the clustering problem. Currently, we have a considerable number of learning algorithms which can be used for clustering. However, not all methods can be used for solving a specific task. The article describes the technology of empirical comparison of methods of clustering problem solving using WEKA free software for machine learning. Empirical comparison of data clustering methods was based on the results of a survey conducted among students majoring in Computer Sciences and dedicated to detecting signs of Internet addiction (IA) as behavioural disorder that occurs due to Internet misuse. Empirical comparison of Expectation Maximization, Farthest First and K-Means clustering algorithms together with the application of the WEKA machine learning system had the following results. It described the peculiarities of application of these methods in feature clustering. The authors developed data instances’ clustering models to detect signs of Internet addiction among students majoring in Computer Sciences. The study concludes that these methods may be applicable to development of models detecting respondent groups with signs of IA related disorders.","","2023-09-21 04:53:24","2024-02-02 02:07:53","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/markryan/Zotero/storage/CKNULYHH/Klochko and Fedorets - An empirical comparison of machine learning cluste.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPYSVDYN","journalArticle","2018","Gampfer, Fabian; Jürgens, Andreas; Müller, Markus; Buchkremer, Rüdiger","Past, current and future trends in enterprise architecture—A view beyond the horizon","Computers in Industry","","0166-3615","10.1016/j.compind.2018.03.006","https://www.sciencedirect.com/science/article/pii/S0166361517306723","Since its introduction in the late nineteen eighties, the discipline of Enterprise Architecture (EA) has evolved into a well-known practice of managing information systems in alignment with business interests. The evolution of the discipline is reflected in the many available scientific publications. Within a timeframe of three decades, we identify approximately 4000 journal articles and conference papers of which enterprise architecture is a major topic. We conduct a holistic, systematic literature review using artificial intelligence technologies such as information retrieval, text mining and supervised learning, side-by-side with manually reading of many relevant articles. For the first time, we present a holistic historical overview of the scientific development of the discipline. We describe the current focus of enterprise architecture and make suggestions for future publications and conferences using predictive analytics. As a major result of our analysis, we find that the focus of EA research has shifted from understanding EA in the early years to managing EA today. Furthermore, we identify and investigate several current EA trend topics: We find Cloud Computing to be the trend with the strongest impact on EA and predict that this will be the case until 2020. According to our forecast, the Internet of Things will be the trend with the strongest growth in its impact on EA. Moreover, based on a comparison with the Gartner Hype Cycle, we observe a discrepancy between EA trends in academic work versus practical experiences, which presents a starting point for future research.","2018-09-01","2023-10-20 07:41:59","2023-10-20 07:41:59","2023-10-20 07:41:59","70-84","","","100","","Computers in Industry","","","","","","","","","","","","","ScienceDirect","","","","/Users/markryan/Zotero/storage/IDWGG7B9/S0166361517306723.html","","","Text mining; Systematic review; Enterprise architecture; Trend analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW7SXC2S","journalArticle","2021","Lim, Zhou-Yi; Ong, Lee-Yeng; Leow, Meng-Chew","A Review on Clustering Techniques: Creating Better User Experience for Online Roadshow","Future Internet","","1999-5903","10.3390/fi13090233","https://www.mdpi.com/1999-5903/13/9/233","Online roadshow is a relatively new concept that has higher flexibility and scalability compared to the physical roadshow. This is because online roadshow is accessible through digital devices anywhere and anytime. In a physical roadshow, organizations can measure the effectiveness of the roadshow by interacting with the customers. However, organizations cannot monitor the effectiveness of the online roadshow by using the same method. A good user experience is important to increase the advertising effects on the online roadshow website. In web usage mining, clustering can discover user access patterns from the weblog. By applying a clustering technique, the online roadshow website can be further improved to provide a better user experience. This paper presents a review of clustering techniques used in web usage mining, namely the partition-based, hierarchical, density-based, and fuzzy clustering techniques. These clustering techniques are analyzed from three perspectives: their similarity measures, the evaluation metrics used to determine the optimality of the clusters, and the functional purpose of applying the techniques to improve the user experience of the website. By applying clustering techniques in different stages of the user activities in the online roadshow website, the advertising effectiveness of the website can be enhanced in terms of its affordance, flow, and interactivity.","2021-09","2023-10-20 07:43:18","2023-10-20 07:43:18","2023-10-20 07:43:18","233","","9","13","","","A Review on Clustering Techniques","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 9 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/markryan/Zotero/storage/WN7NG9CQ/Lim et al. - 2021 - A Review on Clustering Techniques Creating Better.pdf","","","clustering; evaluation metric; online roadshow; similarity measure; user experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XP3MV7Z6","journalArticle","2018","Govindasamy, Karthikeyan; Thambusamy, Velmurugan","Analysis of student academic performance using clustering techniques","International Journal of Pure and Applied Mathematics","","","","","Student‟s performance is an essential part in higher learning institutions. Predicting student‟s performance becomes more challenging due to the large volume of data in educational databases. Clustering is one of the method in data mining to analyze the massive volume of data. It categorizes data into clusters such that objects are grouped in the same cluster when they are similar according to specific metrics. This paper is designed to study and compare four clustering algorithms. The algorithms used for the research is k-Means, k-Medoids, Fuzzy C Means (FCM) and Expectation Maximization (EM). The main advantage of clustering is that interesting patterns and structures can be found directly from very large data sets with little or none of the background knowledge. The performance of the clustering algorithms is compared based on the factors: Purity, Normalized mutual information(NMI) and time taken to form cluster.","2018-01-01","2023-10-20 07:43:38","2023-10-20 07:43:38","","309-322","","","119","","International Journal of Pure and Applied Mathematics","","","","","","","","","","","","","ResearchGate","","","","/Users/markryan/Zotero/storage/X2A6JQ5K/Govindasamy and Thambusamy - 2018 - Analysis of student academic performance using clu.pdf; ","https://www.researchgate.net/publication/326239105_Analysis_of_student_academic_performance_using_clustering_techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHSD7G6B","journalArticle","2021","Goodell, John W.; Kumar, Satish; Lim, Weng Marc; Pattnaik, Debidutta","Artificial intelligence and machine learning in finance: Identifying foundations, themes, and research clusters from bibliometric analysis","Journal of Behavioral and Experimental Finance","","2214-6350","10.1016/j.jbef.2021.100577","https://www.sciencedirect.com/science/article/pii/S2214635021001210","Artificial intelligence (AI) and machine learning (ML) are two related technologies that are emergent in financial scholarship. However, no review, to date, has offered a wholistic retrospection of this research. To address this gap, we provide an overview of AI and ML research in finance. Using both co-citation and bibliometric-coupling analyses, we infer the thematic structure of AI and ML research in finance for 1986–April 2021. By uncovering nine (co-citation) and eight (bibliometric coupling) specific clusters of finance that apply AI and ML, we further identify three overarching groups of finance scholarship that are roughly equivalent for both forms of analysis: (1) portfolio construction, valuation, and investor behavior; (2) financial fraud and distress; and (3) sentiment inference, forecasting, and planning. Additionally, using co-occurrence and confluence analyses, we highlight trends and research directions regarding AI and ML in finance research. Our results provide assessment of  AI and ML in finance research.","2021-12-01","2023-10-20 07:43:49","2023-10-20 07:43:49","2023-10-20 07:43:49","100577","","","32","","Journal of Behavioral and Experimental Finance","Artificial intelligence and machine learning in finance","","","","","","","","","","","","ScienceDirect","","","","/Users/markryan/Zotero/storage/ZDXGVVMY/S2214635021001210.html","","","Machine learning; Artificial intelligence; Bibliometric analysis; Finance; Review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMTCPA7F","journalArticle","","Singelmann, Lauren Nichole","A Thesis Submitted to the Graduate Faculty of the North Dakota State University of Agriculture and Applied Science","","","","","","","","2023-10-20 07:44:28","2023-10-20 07:44:28","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/markryan/Zotero/storage/P5A45KXZ/Singelmann - A Thesis Submitted to the Graduate Faculty of the .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDHAPFS7","journalArticle","2021","Janmaijaya, Manvendra; Shukla, Amit K.; Muhuri, Pranab K.; Abraham, Ajith","Industry 4.0: Latent Dirichlet Allocation and clustering based theme identification of bibliography","Engineering Applications of Artificial Intelligence","","0952-1976","10.1016/j.engappai.2021.104280","https://www.sciencedirect.com/science/article/pii/S0952197621001275","Industry 4.0 with its fusion of technologies has brought an unprecedented growth in all sectors. In this paper, we first present the several pillars of Industry 4.0 which have contributed to the advancement of this field. Then, we perform a bibliometric profile of the Industry 4.0 publications in Web of Science by analyzing the publications and citation structure, most referenced publications, most productive and influential authors, organizations and countries. Further, an extensive analysis of the key words is presented along with the citation bursts of top keywords. Various visualizations tools have been to used show relationships between different bibliometric profiles. The individual growth of different research areas over the year is also presented. The results show promising growth of Industry 4.0 as a research area, various collaborative groups have been identified which are working extensively in the growth of the domain, spearheaded by China, however, considerable contribution of developing countries is also there. An abstract analysis is done using K-means clustering and Latent Dirichlet Allocation (LDA) to identify key research themes.","2021-08-01","2023-10-20 07:44:54","2023-10-20 07:44:54","2023-10-20 07:44:54","104280","","","103","","Engineering Applications of Artificial Intelligence","Industry 4.0","","","","","","","","","","","","ScienceDirect","","","","/Users/markryan/Zotero/storage/5B8WQW6G/S0952197621001275.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHIMD6YA","journalArticle","2020","Duan, Li; Gao, Yunfeng; Shao, Xiaojun; Tian, ChunSheng; Fu, Chunfeng; Zhu, Gang","Research on the Development of Theme Trends and Changes of Knowledge Structures of Drug Therapy Studies on Major Depressive Disorder Since the 21st Century: A Bibliometric Analysis","Frontiers in Psychiatry","","1664-0640","10.3389/fpsyt.2020.00647","","BACKGROUND: Antidepressant treatment is one of the most effective ways of relieving or curing depressive symptoms in patients with major depressive disorder (MDD). Although many studies have explored the efficacy, tolerability, adverse reactions, and functional mechanism of the disease, there has been no systematic evaluation of the relevant results in this field. AIM: This paper aims to analyze the theme trends and knowledge structure of drug therapy studies on MDD since the 21st century by employing bibliometric analysis. METHODS: Literature published in PubMed and related to drug therapy studies on MDD were retrieved between 2001 and 2018 in 6-year increments. After extracting major Medical Subject Headings (MeSH) terms/MeSH subheadings, bi-clustering analysis, social network analysis, and strategic diagrams were employed to complete bibliometric analysis. RESULTS: Overall, 1,577, 2,680, 2,848 relevant research articles were retrieved for the periods during 2001-2006, 2007-2012, and 2013-2018, respectively. In line with strategic diagrams, the main undeveloped and peripheral theme clusters during 2001-2006 were functional mechanisms of antidepressants in pathophysiology, neuroendocrinology and neural biochemistry. These themes were replaced during 2007-2012 by clinical efficacy and influencing factors of antidepressants with or without psychotherapy, mechanisms of adverse reactions of antidepressants, and predictive studies of clinical therapeutic effects of antidepressants based on brain imaging. During 2013-2018 application and evaluation of new antidepressant agents, early identification and prevention of suicide of patients with MDD, as well as genetic- or bio-markers affecting the response and efficacy of antidepressants were the primary themes. Based on social network analyses, emerging hotspots, such as antidepressive agents, second-generation/adverse effects, depressive disorder, major/metabolism, psychotherapy/methods, and brain/drug effects could be identified during 2007-2012 and 2013-2018. CONCLUSIONS: These undeveloped theme clusters and emerging hotspots can be helpful for researchers to clarify the current status of their respective fields and future trends, and to generate novel ideas that may launch new research directions.","2020","2023-10-20 07:45:06","2023-10-20 07:45:06","","647","","","11","","Front Psychiatry","Research on the Development of Theme Trends and Changes of Knowledge Structures of Drug Therapy Studies on Major Depressive Disorder Since the 21st Century","","","","","","","eng","","","","","PubMed","","PMID: 32754061 PMCID: PMC7367417","","/Users/markryan/Zotero/storage/X8PWG69V/Duan et al. - 2020 - Research on the Development of Theme Trends and Ch.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32754061","","bibliometric analysis; co-occurrence analysis; drug therapy; major depressive disorder; social network analysis; strategic diagram","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
