"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HXDJB4GF","journalArticle","2015","Kusumawardani, Renny Pradina; Agintiara, Mayangsekar","Application of Fuzzy AHP-TOPSIS Method for Decision Making in Human Resource Manager Selection Process","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.173","https://www.sciencedirect.com/science/article/pii/S1877050915036340","This paper investigates the use of the Fuzzy AHP-TOPSIS method to the problem of human resource selection. Results are reported on the application of this hybrid method to the case of manager selection process in a prominent telecommunication company in Indonesia which has a robust human resource management process, including for assigning its employees to different roles in the company. However, our experiments results seem to indicate that although there is a set of commonly known values in the company, the process of manager selection might not strictly adhere to these values. Emphasis on the evaluation aspects shows some variation in different regions, indicating that local values might also influence the selection process.","2015-01-01","2024-03-10 16:18:17","2024-03-10 16:20:06","","638-646","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","AHP; Fuzzy AHP-TOPSIS; Manager Selection; TOPSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ZPIRHSU","journalArticle","2015","Jothi, Neesha; Rashid, Nur’Aini Abdul; Husain, Wahidah","Data Mining in Healthcare – A Review","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.145","https://www.sciencedirect.com/science/article/pii/S1877050915036066","The knowledge discovery in database (KDD) is alarmed with development of methods and techniques for making use of data. One of the most important step of the KDD is the data mining. Data mining is the process of pattern discovery and extraction where huge amount of data is involved. Both the data mining and healthcare industry have emerged some of reliable early detection systems and other various healthcare related systems from the clinical and diagnosis data. In regard to this emerge, we have reviewed the various paper involved in this field in terms of method, algorithms and results. This review paper has consolidated the papers reviewed inline to the disciplines, model, tasks and methods. Results and evaluation methods are discussed for selected papers and a summary of the finding is presented to conclude the paper.","2015-01-01","2024-03-10 16:18:17","2024-03-10 16:20:14","","306-313","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Data Mining; Data Mining in Healthcare; Health Informactics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ6HT4SF","journalArticle","2015","Kuswanto, Heri; Asfihani, Ayu; Sarumaha, Yogi; Ohwada, Hayato","Logistic Regression Ensemble for Predicting Customer Defection with Very Large Sample Size","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.108","https://www.sciencedirect.com/science/article/pii/S1877050915035693","Predicting customer defection is an important subject for companies producing cloud based software. The studied company sell three products (High, Medium and Low Price), in which the consumer has choice to defect or retain the product after certain period of time. The fact that the company collected very large dataset leads to inapplicability of standard statistical models due to the curse of dimensionality. Parametric statistical models will tend to produce very big standard error which may lead to inaccurate prediction results. This research examines a machine learning approach developed for high dimensional data namely logistic regression ensemble (LORENS). Using computational approaches, LORENS has prediction ability as good as standard logistic regression model i.e. between 66% to 77% prediction accuracy. In this case, LORENS is preferable as it is more reliable and free of assumptions.","2015-01-01","2024-03-10 16:18:17","2024-03-10 16:20:38","","86-93","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","classification; ensemble; high dimensional data; logistic regression; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IFAQ3RI","journalArticle","2015","Hasanov, Jasur; Khalid, Haliyana","The Impact of Website Quality on Online Purchase Intention of Organic Food in Malaysia: A WebQual Model Approach","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.153","https://www.sciencedirect.com/science/article/pii/S1877050915036145","This paper presents valuable insight into consumers’ online purchase intentions regarding organic foods. Specifically, it examines the influence of website quality on consumers’ intention to purchase organic food online based on the Malaysian perspective. The study employed quantitative method; where 304 respondents participated in a survey. The results indicate that website quality has indirect impact on online purchase intentions of health foods in Malaysia through the full mediation of customer satisfaction. On the other hand, demographic factors had no significant effect on online purchase intention.","2015-01-01","2024-03-10 16:18:17","2024-03-10 16:20:54","","382-389","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Customer satisfaction; Customer's purchase intention; Organic food; Website quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6DQH5YLZ","journalArticle","2015","Nuryani, Nuryani; Harjito, Bambang; Yahya, Iwan; Lestari, Anik; Anzihory, Eka; Farosi, Kemas","Atrial Fibrillation Detection Using Swarm Fuzzy Inference System and Electrocardiographic P-Wave Features","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.116","https://www.sciencedirect.com/science/article/pii/S1877050915035772","A new technique for detecting atrial fibrillation (AF) is proposed and investigated. The technique employs a swarm fuzzy inference system (SFIS). SFIS is fuzzy system optimized by using a particle swarm optimization (PSO). The technique introduces new inputs for the SFIS to detect AF. The inputs involve the peaks number and width of electrocardiographic P-wave. Experiments of FA detection utilizing SFIS with different inputs are conducted. On a test using clinical electrocardiographic data, SFIS performs well in AF detection with sensitivity, specificity and accuracy of 77.86%, 60.40% and 75.09%, respectively.","2015-01-01","2024-03-10 16:18:17","2024-03-10 16:20:08","","154-161","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Atrial fibrillation (AF); electrocardiogram; fuzzy inference system (FIS); particle swarm optimization (PSO)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GE9I27F","journalArticle","2015","Dehghani, Shahrzad; Pourzaferani, Mohammad; Barekatain, Behrang","Comparison on Energy-efficient Cluster Based Routing Algorithms in Wireless Sensor Network","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.161","https://www.sciencedirect.com/science/article/pii/S1877050915036224","Wireless sensor networks(WSNs) nowadays considered as a hot research topic because of its wide range of applications in various fields. Recently, advancement in electronic communications has led to multi-purpose sensor nodes with low-cost and power consumption. Wireless sensor networks are composed of limited power sensors, which their power supply could not be replaced or recharged. So, less power consumption will increase the lifetime of these networks. Therefore, providing efficient routing algorithms with less energy consumption is desirable. Among many routing algorithms, approaches based on clustering, result less energy consumption. In this article, all well-known routing algorithms based on clustering which focus on saving energy got reviewed. Each algorithm is described in detail and its pros and cons are discussed explicitly. Then some important metrics such as scalability, message overhead and algorithm complexity are used for comparing cluster-based algorithms and give an insight to challenges in this field.","2015-01-01","2024-03-10 16:18:18","2024-03-10 16:20:13","","535-542","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Clustering algorithms; Clustering based routing; energy consumption optimization; Wireless sensor networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLP4EPP6","journalArticle","2015","Mohammed, Salmah Mousbah Zeed; Mohd, Azizul Rahman; Singh, Manmeet Mahinderjit","A Secure Mobile App Solution Using Human Behavioral Context and Analytic Hierarchy Process","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.124","https://www.sciencedirect.com/science/article/pii/S1877050915035851","Mobile devices have gained popularity worldwide. The mobile device flexibility has encouraged users to turn their mobile devices into primary hubs for storing information. This paper adopts the classical CW-Lite security models as the framework and the human behavioral patterns as the context. The selected behavioral aspects refer to mobile application and mobility, deployed as major characteristics that determine security control decisions. This proposed paper requires the application of human behavioral context on mobile phones. The solution involves the novel use of behavioral aspects to improve the security of mobile phones. Two important scenarios are incorporated: analytic hierarchy process (AHP) mobile application and AHP mobility. The proposed methodology is superior because it can detect the change in the user behavior in comparison with an intruder. The applied intelligent human behavioral context on the CW-Lite model shows the advantages of AHP in detecting the changes in the user behavior and in authenticating the identity of the main user. These advantages ensure reliability and security of the phone.","2015-01-01","2024-03-10 16:18:18","2024-03-10 16:20:01","","434-445","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Analytic Hierarchy Process (AHP) for decision making; CW-Lite security model; User authentication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNU7Y63J","journalArticle","2015","Saputra, Yudha Andrian; Latiffianti, Effi","Project Reliability Model Considering Time – Cost – Resource Relationship under Uncertainty","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.164","https://www.sciencedirect.com/science/article/pii/S187705091503625X","Since PERT was introduced in 1950's, many researchers have developed models to evaluate the probability of project success, which is to meet the target in terms of time and/or cost by considering uncertainty. This probability can be seen as the project reliability. In this paper, we proposed a model to measure project reliability with time and cost as the targets by considering resource availability under uncertainty. Typically, resource is also a factor that contributes to the time and cost uncertainty. Study in the field of project reliability has evolved but there were no further study re-viewing relationship between resources and both time and cost of the project. Therefore, in this research, we developed a model to explain various type of relationship among time, cost, and resource that mostly are prioritized in the project planning. We also provide a technical solution for this type of problem using Monte Carlo simulation. A numerical example is provided to give an illustration and to measure the level of practicability of this model to deal with real world problems.","2015-01-01","2024-03-10 16:18:18","2024-03-10 16:20:44","","561-568","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Monte Carlo Simulation; Project Reliability; Time – Cost – Resources; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8YNGPUY","journalArticle","2015","Hasan, Nur; Suryani, Erma; Hendrawan, Rully","Analysis of Soybean Production and Demand to Develop Strategic Policy of Food Self Sufficiency: A System Dynamics Framework","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.169","https://www.sciencedirect.com/science/article/pii/S1877050915036303","Soybean production and demand gap in Indonesia for decades has triggered dependence on imported soy products. Demand consumption of soy protein-based foods higher with increasing population annually. Various efforts have been made by the government but is still not are able to show maximum results overall. The aim of this study is to find an alternative solution using system dynamics approach. Real conditions captured into a model and then performed a series of scenarios the decision to obtain best results using computer assistance. The results of scenarios showed that soybean production could be produced to meet the needs of soybean demand in Indonesia for 20 years by increasing expansion of land of at least 70% per year, the use of seeds with a minimum production level 2.4 tons / hectare or utilization of the short-lived seeds which able to increase the cropping index at least 2.0, use of biological fertilizers which can increase seed productivity at least 125%.","2015-01-01","2024-03-10 16:18:18","2024-03-10 16:20:06","","605-612","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","Demand Gap; Soybean Production; System Dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVSQG7LD","journalArticle","2015","Shahiri, Amirah Mohamed; Husain, Wahidah; Rashid, Nur’aini Abdul","A Review on Predicting Student's Performance Using Data Mining Techniques","The Third Information Systems International Conference 2015","","1877-0509","10.1016/j.procs.2015.12.157","https://www.sciencedirect.com/science/article/pii/S1877050915036182","Predicting students performance becomes more challenging due to the large volume of data in educational databases. Currently in Malaysia, the lack of existing system to analyze and monitor the student progress and performance is not being addressed. There are two main reasons of why this is happening. First, the study on existing prediction methods is still insufficient to identify the most suitable methods for predicting the performance of students in Malaysian institutions. Second is due to the lack of investigations on the factors affecting students achievements in particular courses within Malaysian context. Therefore, a systematical literature review on predicting student performance by using data mining techniques is proposed to improve students achievements. The main objective of this paper is to provide an overview on the data mining techniques that have been used to predict students performance. This paper also focuses on how the prediction algorithm can be used to identify the most important attributes in a students data. We could actually improve students achievement and success more effectively in an efficient way using educational data mining techniques. It could bring the benefits and impacts to students, educators and academic institutions.","2015-01-01","2024-03-10 16:18:18","2024-03-10 16:20:00","","414-422","","","72","","Procedia Computer Science","","","","","","","","","","","","","","","","","","","","educational data mining; performance prediction; Student performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
